id,firstName,lastName,age,gender,email,lat,lng,country,fav_category_in_cart
97,Oscar,Powers,34,male,oscar.powers@x.dummyjson.com,52.294653,-70.69936,Unknown,
98,Clara,Berry,31,female,clara.berry@x.dummyjson.com,88.607515,92.692781,Unknown,
99,Gavin,Stanley,33,male,gavin.stanley@x.dummyjson.com,70.915423,-30.195987,Unknown,
100,Lila,Hudson,28,female,lila.hudson@x.dummyjson.com,-68.233207,-67.04255,Unknown,
101,Alice,Smith,29,female,alice.smith@x.dummyjson.com,-16.873954,118.766256,Unknown,
102,John,Doe,36,male,john.doe@x.dummyjson.com,-66.043758,-59.356632,Unknown,
103,Emily,Brown,43,female,emily.brown@x.dummyjson.com,-64.336051,135.876737,Unknown,
104,Michael,Johnson,25,male,michael.johnson@x.dummyjson.com,-79.040825,100.576804,Unknown,
105,Emma,Wilson,32,female,emma.wilson@x.dummyjson.com,64.320835,-25.984113,Unknown,
106,David,Martinez,40,male,david.martinez@x.dummyjson.com,-70.300461,-43.907001,Unknown,
107,Olivia,Anderson,30,female,olivia.anderson@x.dummyjson.com,-41.687661,162.81871,Unknown,
108,James,Garcia,46,male,james.garcia@x.dummyjson.com,18.738768,174.881955,Unknown,smartphones
109,Sophia,Jones,34,female,sophia.jones@x.dummyjson.com,3.39453,-101.97078,Unknown,
110,Daniel,Taylor,28,male,daniel.taylor@x.dummyjson.com,57.726676,172.872583,Unknown,
111,Isabella,Jackson,37,female,isabella.jackson@x.dummyjson.com,-67.335287,-128.480048,Unknown,
112,Alexander,Hernandez,42,male,alexander.hernandez@x.dummyjson.com,14.101714,-148.130379,Unknown,
113,Mia,Miller,26,female,mia.miller@x.dummyjson.com,-52.149832,-103.851339,Unknown,
114,Ethan,Thompson,33,male,ethan.thompson@x.dummyjson.com,17.032342,-23.993339,Unknown,
115,Charlotte,Davis,39,female,charlotte.davis@x.dummyjson.com,40.199624,-100.939984,Unknown,
116,William,Lopez,27,male,william.lopez@x.dummyjson.com,-86.122625,174.058446,Unknown,
117,Amelia,Perez,44,female,amelia.perez@x.dummyjson.com,-55.895738,-117.829232,Unknown,
118,Benjamin,Wilson,31,male,benjamin.wilson@x.dummyjson.com,25.447567,-84.61101,Unknown,beauty; smartphones
119,Liam,Gonzalez,35,male,liam.gonzalez@x.dummyjson.com,-7.51515,115.577498,Unknown,
120,Evelyn,Walker,38,female,evelyn.walker@x.dummyjson.com,-62.62634,-47.556406,Unknown,
121,Ava,Harris,30,female,ava.harris@x.dummyjson.com,74.817644,15.72801,Unknown,
122,Liam,Smith,45,male,liam.smith@x.dummyjson.com,60.431607,37.172499,Unknown,
123,Harper,King,24,female,harper.king@x.dummyjson.com,63.580461,20.01683,Unknown,
124,Noah,Lewis,40,male,noah.lewis@x.dummyjson.com,62.7964,-10.481867,Unknown,
125,Logan,Lee,46,male,logan.lee@x.dummyjson.com,-84.199564,-88.786066,Unknown,
126,Avery,Scott,28,female,avery.scott@x.dummyjson.com,-75.143865,147.08972,Unknown,
127,Mason,Wright,41,male,mason.wright@x.dummyjson.com,4.881216,95.227225,Unknown,
128,Grace,Green,36,female,grace.green@x.dummyjson.com,42.451115,-141.959996,Unknown,
129,Lucas,Allen,27,male,lucas.allen@x.dummyjson.com,-75.052492,-97.743046,Unknown,
130,Chloe,Roberts,42,female,chloe.roberts@x.dummyjson.com,45.06526,172.773263,Unknown,
131,Jackson,Morales,34,male,jackson.morales@x.dummyjson.com,89.624584,-107.671084,Unknown,
132,Zoe,Bennett,29,female,zoe.bennett@x.dummyjson.com,69.750311,73.644612,Unknown,
133,Carter,Rivera,38,male,carter.rivera@x.dummyjson.com,74.539668,-124.72219,Unknown,
134,Nora,Russell,25,female,nora.russell@x.dummyjson.com,-79.430607,19.96758,Unknown,sports-accessories; laptops
135,Elijah,Cruz,30,male,elijah.cruz@x.dummyjson.com,19.529428,165.798169,Unknown,
136,Madison,Stewart,37,female,madison.stewart@x.dummyjson.com,-26.509663,-127.744698,Unknown,
137,Gabriel,Bailey,43,male,gabriel.bailey@x.dummyjson.com,-75.122944,-64.318724,Unknown,
138,Lily,Torres,32,female,lily.torres@x.dummyjson.com,62.991584,152.588663,Unknown,
139,Elijah,Hill,27,male,elijah.hill@x.dummyjson.com,15.130769,31.685277,Unknown,
140,Hannah,Howard,36,female,hannah.howard@x.dummyjson.com,60.841918,105.608089,Unknown,kitchen-accessories
141,Owen,Sullivan,44,male,owen.sullivan@x.dummyjson.com,-80.040112,51.292783,Unknown,kitchen-accessories
142,Aria,Parker,28,female,aria.parker@x.dummyjson.com,56.943768,41.212736,Unknown,sports-accessories
143,Grayson,Coleman,31,male,grayson.coleman@x.dummyjson.com,45.278241,-118.657493,Unknown,
144,Ella,Cook,39,female,ella.cook@x.dummyjson.com,-71.093517,106.087919,Unknown,
145,Luke,Cooper,26,male,luke.cooper@x.dummyjson.com,-39.478613,-164.971685,Unknown,
146,Leah,Hughes,33,female,leah.hughes@x.dummyjson.com,-33.238059,-48.876125,Unknown,
147,Henry,Turner,45,male,henry.turner@x.dummyjson.com,-26.432988,79.850071,Unknown,beauty
148,Aurora,Barnes,30,female,aurora.barnes@x.dummyjson.com,-20.67407,107.281052,Unknown,
149,Wyatt,Perry,35,male,wyatt.perry@x.dummyjson.com,81.83425,32.721892,Unknown,
150,Stella,Morris,40,female,stella.morris@x.dummyjson.com,14.373938,-117.931737,Unknown,womens-bags
151,Nathan,Reed,29,male,nathan.reed@x.dummyjson.com,66.874876,-47.038037,Unknown,
152,Paisley,Bell,44,female,paisley.bell@x.dummyjson.com,-29.795045,-155.343108,Unknown,
153,Christian,Perez,32,male,christian.perez@x.dummyjson.com,16.612785,-157.687335,Unknown,
154,Bella,Gonzalez,27,female,bella.gonzalez@x.dummyjson.com,-63.953218,-179.352554,Unknown,
155,Nicholas,Edwards,42,male,nicholas.edwards@x.dummyjson.com,32.326166,-57.129602,Unknown,
156,Mila,Hernandez,34,female,mila.hernandez@x.dummyjson.com,89.661297,163.24939,Unknown,
157,Aaron,Cook,28,male,aaron.cook@x.dummyjson.com,-6.538887,-58.475605,Unknown,
158,Aubrey,Gutierrez,37,female,aubrey.gutierrez@x.dummyjson.com,-3.033666,-35.006014,Unknown,
159,Eli,Ward,31,male,eli.ward@x.dummyjson.com,-48.916279,-55.125238,Unknown,
160,Claire,Foster,30,female,claire.foster@x.dummyjson.com,-34.990544,5.238312,Unknown,womens-watches
161,James,Gonzales,45,male,james.gonzales@x.dummyjson.com,41.771503,-143.60333,Unknown,
162,Mateo,Bennett,29,male,mateo.bennett@x.dummyjson.com,81.588332,23.122562,Unknown,
163,Julian,James,25,male,julian.james@x.dummyjson.com,49.570683,99.890665,Unknown,
164,Addison,Ward,30,female,addison.ward@x.dummyjson.com,-39.289112,46.108923,Unknown,
165,Leo,Rivera,37,male,leo.rivera@x.dummyjson.com,-68.346297,-105.349177,Unknown,
166,Elena,Long,43,female,elena.long@x.dummyjson.com,-59.16639,-110.237583,Unknown,
167,Evan,Wright,32,male,evan.wright@x.dummyjson.com,-4.634296,-76.469476,Unknown,
168,Luna,Perez,27,female,luna.perez@x.dummyjson.com,-4.975011,-122.36835,Unknown,
169,Jaxon,Barnes,42,male,jaxon.barnes@x.dummyjson.com,-51.482246,69.659375,Unknown,
170,Penelope,King,34,female,penelope.king@x.dummyjson.com,69.798238,-23.843511,Unknown,sports-accessories
171,Connor,Baker,28,male,connor.baker@x.dummyjson.com,64.049998,17.631126,Unknown,
172,Ariana,Ross,37,female,ariana.ross@x.dummyjson.com,-39.772203,-90.030002,Unknown,groceries
173,Asher,Scott,31,male,asher.scott@x.dummyjson.com,-80.129031,-63.515107,Unknown,
174,Sadie,Morales,30,female,sadie.morales@x.dummyjson.com,1.624325,169.257306,Unknown,
175,Gabriel,Mitchell,45,male,gabriel.mitchell@x.dummyjson.com,77.328632,-179.958549,Unknown,
176,Aaliyah,Martinez,29,female,aaliyah.martinez@x.dummyjson.com,2.456241,-122.373016,Unknown,
177,Xavier,Wright,38,male,xavier.wright@x.dummyjson.com,-82.732098,-118.759483,Unknown,vehicle; groceries; home-decoration
178,Savannah,Gomez,26,female,savannah.gomez@x.dummyjson.com,17.437754,52.607007,Unknown,
179,Tyler,Davis,43,male,tyler.davis@x.dummyjson.com,-11.614709,-140.027621,Unknown,
180,Aurora,Rodriguez,32,female,aurora.rodriguez@x.dummyjson.com,11.918088,-78.222936,Unknown,
181,Brandon,Collins,27,male,brandon.collins@x.dummyjson.com,64.264679,174.078392,Unknown,
182,Ellie,Stewart,42,female,ellie.stewart@x.dummyjson.com,-4.323913,-53.677351,Unknown,
183,Cameron,Perez,34,male,cameron.perez@x.dummyjson.com,46.602121,27.216432,Unknown,
184,Natalie,Price,29,female,natalie.price@x.dummyjson.com,51.396873,-93.569135,Unknown,
185,Henry,Adams,45,male,henry.adams@x.dummyjson.com,6.813674,-105.472209,Unknown,
186,Harper,Garcia,30,female,harper.garcia@x.dummyjson.com,87.610618,-10.758155,Unknown,
187,Zachary,Lee,37,male,zachary.lee@x.dummyjson.com,71.063285,15.925876,Unknown,
188,Aria,Flores,26,female,aria.flores@x.dummyjson.com,-88.3996,22.908268,Unknown,
189,Tristan,Scott,31,male,tristan.scott@x.dummyjson.com,41.054431,166.675065,Unknown,groceries
190,Leah,Gutierrez,32,female,leah.gutierrez@x.dummyjson.com,21.571413,-29.683505,Unknown,
191,Layla,Young,42,female,layla.young@x.dummyjson.com,27.700352,39.899995,Unknown,
192,Nolan,Gonzalez,34,male,nolan.gonzalez@x.dummyjson.com,46.482884,99.998177,Unknown,
193,Hazel,Evans,29,female,hazel.evans@x.dummyjson.com,-51.810295,63.397461,Unknown,
194,Brayden,Hill,46,male,brayden.hill@x.dummyjson.com,-75.17099,-121.998953,Unknown,smartphones
195,Violet,Roberts,30,female,violet.roberts@x.dummyjson.com,-74.346078,-146.099155,Unknown,
196,Lucas,Ramirez,35,male,lucas.ramirez@x.dummyjson.com,25.678873,-49.347981,Unknown,
197,Eleanor,Collins,38,female,eleanor.collins@x.dummyjson.com,-41.260692,27.327538,Unknown,
198,Max,Parker,33,male,max.parker@x.dummyjson.com,-60.942128,-116.870235,Unknown,
199,Vivian,Carter,27,female,vivian.carter@x.dummyjson.com,-53.884404,-10.723838,Unknown,
200,Adrian,Flores,44,male,adrian.flores@x.dummyjson.com,48.779884,-84.200415,Unknown,groceries; sports-accessories
201,Maya,Reed,30,female,maya.reed@x.dummyjson.com,-60.719414,-51.829096,Unknown,
202,Caleb,Nelson,37,male,caleb.nelson@x.dummyjson.com,-1.336275,52.740574,Unknown,womens-dresses
203,Nova,Cooper,32,female,nova.cooper@x.dummyjson.com,64.747296,148.357671,Unknown,
204,Mateo,Perez,46,male,mateo.perez@x.dummyjson.com,23.706655,-56.346259,Unknown,
205,Aubrey,Garcia,29,female,aubrey.garcia@x.dummyjson.com,80.449539,-142.231527,Unknown,
206,Elena,Baker,35,female,elena.baker@x.dummyjson.com,30.069731,-118.879243,Unknown,
207,Jace,Smith,42,male,jace.smith@x.dummyjson.com,-64.699698,-99.677422,Unknown,
208,Samantha,Martinez,28,female,samantha.martinez@x.dummyjson.com,-89.0775,-81.825967,Unknown,
